0	2	3	5	4	4	6	6	11	9	11	15	13	5	17	15	7	18	7	9	6	8	9	10	8	11
2	0	1	3	2	2	4	4	9	7	9	13	11	3	15	13	5	16	5	7	4	6	7	8	6	9
3	1	0	4	1	1	3	3	8	6	8	12	10	2	14	12	4	15	6	8	5	7	8	9	5	8
5	3	4	0	5	5	7	7	7	10	12	16	14	6	18	16	8	19	7	5	1	3	4	5	9	12
4	2	1	5	0	2	2	4	9	7	9	13	11	3	15	13	5	16	7	9	6	8	9	10	6	9
4	2	1	5	2	0	4	2	7	5	7	11	9	1	13	11	3	14	7	9	6	8	9	9	4	7
6	4	3	7	2	4	0	6	11	9	11	15	13	5	17	15	7	18	9	11	8	10	11	12	8	11
6	4	3	7	4	2	6	0	5	7	9	13	11	3	11	13	1	13	9	11	8	9	8	7	2	5
11	9	8	7	9	7	11	5	0	12	14	14	16	8	12	17	4	14	8	6	6	4	3	2	3	6
9	7	6	10	7	5	9	7	12	0	2	6	4	6	8	6	8	9	12	14	11	13	14	14	9	12
11	9	8	12	9	7	11	9	14	2	0	8	2	8	7	4	10	7	14	16	13	15	16	16	11	13
15	13	12	16	13	11	15	13	14	6	8	0	9	12	2	7	12	4	18	20	17	18	17	16	11	8
13	11	10	14	11	9	13	11	16	4	2	9	0	10	7	2	12	5	16	18	15	17	18	18	13	13
5	3	2	6	3	1	5	3	8	6	8	12	10	0	14	12	4	15	8	10	7	9	10	10	5	8
17	15	14	18	15	13	17	11	12	8	7	2	7	14	0	5	10	2	20	18	18	16	15	14	9	6
15	13	12	16	13	11	15	13	17	6	4	7	2	12	5	0	14	3	18	20	17	19	20	19	14	11
7	5	4	8	5	3	7	1	4	8	10	12	12	4	10	14	0	12	10	10	9	8	7	6	1	4
18	16	15	19	16	14	18	13	14	9	7	4	5	15	2	3	12	0	21	20	20	18	17	16	11	8
7	5	6	7	7	7	9	9	8	12	14	18	16	8	20	18	10	21	0	2	6	4	5	6	11	14
9	7	8	5	9	9	11	11	6	14	16	20	18	10	18	20	10	20	2	0	4	2	3	4	9	12
6	4	5	1	6	6	8	8	6	11	13	17	15	7	18	17	9	20	6	4	0	2	3	4	9	12
8	6	7	3	8	8	10	9	4	13	15	18	17	9	16	19	8	18	4	2	2	0	1	2	7	10
9	7	8	4	9	9	11	8	3	14	16	17	18	10	15	20	7	17	5	3	3	1	0	1	6	9
10	8	9	5	10	9	12	7	2	14	16	16	18	10	14	19	6	16	6	4	4	2	1	0	5	8
8	6	5	9	6	4	8	2	3	9	11	11	13	5	9	14	1	11	11	9	9	7	6	5	0	3
11	9	8	12	9	7	11	5	6	12	13	8	13	8	6	11	4	8	14	12	12	10	9	8	3	0
